station,distance,elevation
5+900,325,-3.37810564
5+900,350,-3.512388468
5+900,375,-3.644259214
5+900,400,-3.759297132
6+000,0,2.546163
6+000,25,2.646162987
6+000,50,2.656344891
6+000,75,-0.499215156
6+000,100,-1.541291595
6+000,125,-1.529600501
6+000,150,-2.18493247
6+000,175,-2.521780968
6+000,200,-2.779919624
6+000,225,-2.911229849
6+000,250,-3.039084435
6+000,275,-3.170033216
6+000,300,-3.297887802
6+000,325,-3.425742388
6+000,350,-3.55669117
6+000,375,-3.684545755
6+000,400,-3.819667339
6+100,0,2.337072
6+100,25,2.368831396
6+100,50,2.176419973
6+100,75,-0.377940476
6+100,100,-1.1545645
6+100,125,-1.46271503
6+100,150,-1.880699992
6+100,175,-2.41342783
6+100,200,-2.720439434
6+100,225,-2.901658058
6+100,250,-3.050427198
6+100,275,-3.268186331
6+100,300,-3.417218685
6+100,325,-3.556824923
6+100,350,-3.69643116
6+100,375,-3.84079504
6+100,400,-3.980401278
6+200,0,2.514727
6+200,25,2.442390919
6+200,50,2.545675755
6+200,75,0.633871555
6+200,100,-1.290453672
6+200,125,-1.475536227
6+200,150,-1.888983607
6+200,175,-2.499278784
6+200,200,-2.834693909
6+200,225,-2.819666862
6+200,250,-2.9405334
6+200,275,-3.117874146
6+200,300,-3.335633278
6+200,325,-3.556678534
6+200,350,-3.774420977
6+200,375,-3.995283604
6+200,400,-4
6+300,0,2.440341
6+300,25,2.34034133
6+300,50,2.303436995
6+300,75,1.827216744
6+300,100,-1.471427083
6+300,125,-1.003150463
6+300,150,-1.334093451
6+300,175,-2.204471827
6+300,200,-2.338101149
6+300,225,-2.623062611
6+300,250,-2.855774641
6+300,275,-3.052686214
6+300,300,-3.245611429
6+300,325,-3.434572458
6+300,350,-3.627497673
